ADF  (AIC),,,,,,
,Original data,,,First-differenced data,,
OPH:nfb,I(1),trend,1,I(0),trend,1
OPH:Bus,I(1),trend,1,I(0),trend,1
ULC:Bus,I(1),trend,7,I(0),drift,6
ULC:NFB,I(1),trend,7,I(0),drift,6
UNLPay:nfb,I(1),trend,7,I(0),drift,6
FedFunds,I(1),trend,7,I(0),drift,6
TB-3Mth,I(1),trend,7,I(0),drift,12
TM-6MTH,I(1),trend,7,I(0),drift,6
TB-1YR,I(1),trend,7,I(0),drift,6
TB-10YR,I(1),trend,7,I(0),drift,6
Com Paper,I(1),trend,7,I(0),drift,6
AAA Bond,I(1),drift,3,I(0),trend,4
BAA Bond,I(1),drift,1,I(0),trend,1
BAA_GS10,I(0),trend,1,I(0),drift,4
tb6m_tb3m,I(0),trend,4,I(0),drift,5
GS1_tb3m,I(1),trend,6,I(0),drift,5
GS10_tb3m,I(0),trend,12,I(0),drift,10
CP_Tbill Spread,I(0),trend,4,I(0),drift,6
Real_mbase,I(1),trend,14,I(1),trend,15
Real_m1,I(1),trend,12,I(1),trend,11
Real_m2,I(1),trend,3,I(0),trend,2
Real_mzm,I(1),trend,11,I(0),trend,11
Real_C&Lloand,I(0),trend,1,I(0),drift,14
Real_ConsLoans,I(1),trend,1,I(0),drift,2
Real_NonRevCredit,I(1),trend,1,I(0),trend,1
Real_LoansRealEst,I(1),trend,12,I(1),trend,13
Real_ConsuCred,I(1),trend,7,I(0),trend,6
S&P 500,I(1),trend,14,I(0),trend,15
DJIA,I(1),trend,2,I(0),trend,1
Ex rate: major,I(1),trend,3,I(0),drift,2
Cons. Expectations,I(1),trend,1,I(0),drift,1
IP: Energy Prds,I(1),trend,11,I(0),drift,10
Petroleum Stocks,I(1),trend,9,I(0),drift,8
Real_Price:Oil,I(1),trend,5,I(0),drift,4
